Time,ERN,H,XPR,H position,XPR position,Portfolio,,ERN std (from April),Constructed Portfolio std (from April)
2016/1/31,24.6075,6779.375,453.7200624,,,,,,
2016/2/7,24.282,6675.5,454.6845636,,,,,,
2016/2/14,24.256,6633,457.1069597,,,,,,
2016/2/21,23.452,6387,459.0168141,,,,,,
2016/2/28,22.682,6097.5,465.0000393,,,,,,
2016/3/6,23.504,6282.5,467.654285,,,,,,
2016/3/13,24.32,6486,468.7010697,,,,,,
2016/3/20,25.336,6759.5,468.5275361,,,,,,
2016/3/27,25.315,6765,467.7584778,,,,,,
2016/4/3,25.684,6930,463.2697823,-0.003717919,0.05301521,,,,
2016/4/10,25.452,6881.5,462.3264377,-0.003716643,0.05301521,24.37747118,,,
2016/4/17,25.556,6972.5,458.1668085,-0.003709986,0.05301521,23.93151701,,,
2016/4/24,26.402,7298,452.2565919,-0.003678403,0.05301521,23.30300117,,,
2016/5/1,27.04,7535.5,448.5472409,-0.003648132,0.05301521,23.10122192,,,
2016/5/8,26.61,7452.5,446.3228263,-0.003633293,0.05301521,23.08419799,,,
2016/5/15,26.482,7381.5,448.449803,-0.003628392,0.05301521,23.43750554,,0.569908472,0.469324776
2016/5/22,25.812,7156.5,450.8409062,-0.003628346,0.05301521,23.74683642,,0.550131116,0.440545975
2016/5/29,26.44,7329.5,450.9086773,-0.003627828,0.05301521,23.75105518,,0.521021533,0.416476776
2016/6/5,27.142,7511.5,451.6863161,-0.003627104,0.05301521,23.83781716,,0.569638048,0.400209654
2016/6/12,27.986,7841,446.1847351,-0.003613468,0.05301521,23.20045382,,0.734830838,0.399892636
2016/6/19,27.852,7829.5,444.6642075,-0.003603789,0.05301521,23.1343189,,0.802310506,0.401970075
2016/6/26,28.436,7992.5,444.7321136,-0.00359507,0.05301521,23.21028219,,0.918227323,0.39529959
2016/7/3,29.18,8226,443.430721,-0.003583845,0.05301521,23.11552936,,1.091581384,0.394043766
2016/7/10,28.842,8128.5,443.537183,-0.003577909,0.05301521,23.2249337,,1.158919447,0.385320662
2016/7/17,28.29,8007.5,441.6179576,-0.003572565,0.05301521,23.05236575,,1.159074451,0.385968453
2016/7/24,27.932,7923.5,440.6517145,-0.003568191,0.05301521,22.98602718,,1.13739911,0.389119864
2016/7/31,28.41,8070,440.0558798,-0.003562779,0.05301521,22.94435071,,1.138649452,0.392812805
2016/8/7,28.574,8099,441.011204,-0.003559095,0.05301521,23.09935048,,1.145216573,0.387073327
2016/8/14,27.456,7731.5,443.9186365,-0.003558609,0.05301521,23.47329674,,1.114888206,0.377550251
2016/8/21,27.298,7690,443.7256757,-0.003558335,0.05301521,23.4565028,,1.086750496,0.368483982
2016/8/28,27.84,7894,440.8968793,-0.003555873,0.05301521,23.12474668,,1.065482838,0.363481446
2016/9/4,27.574,7894,436.6287231,-0.003552219,0.05301521,22.65189824,,1.041749867,0.3846618
2016/9/11,27.018,7734.5,436.6470794,-0.003550176,0.05301521,22.69229521,,1.021689797,0.398003745
2016/9/18,27.798,7965,436.2516131,-0.003546461,0.05301521,22.64882111,,1.003744237,0.410879918
2016/9/25,28.396,8148.5,435.6157365,-0.003540964,0.05301521,22.59192432,,1.002928333,0.424211656
2016/10/2,27.974,7992,437.5314148,-0.003538527,0.05301521,22.87043511,,0.988945562,0.422233724
2016/10/9,28.578,8143,438.6868528,-0.003536221,0.05301521,23.0208469,,0.993421511,0.416266548
2016/10/16,30.056,8664,433.6379331,-0.003525508,0.05301521,22.40758357,,1.085118434,0.435990578
2016/10/23,29.712,8607.5,431.482889,-0.003515427,0.05301521,22.24134443,,1.134579914,0.462439091
2016/10/30,27.362,7838.5,436.4194849,-0.003514001,0.05301521,22.94319545,,1.116791237,0.456370399
2016/11/6,25.35,7128,444.6751534,-0.003513803,0.05301521,23.87674753,,1.171379595,0.466691026
2016/11/13,24.034,6695,448.7606728,-0.003514272,0.05301521,24.30022864,,1.307292234,0.499076126
2016/11/20,24.408,6884,443.2286716,-0.003514395,0.05301521,23.71361221,,1.389911881,0.498871803
2016/11/27,26.094,7534.5,432.9613875,-0.003513962,0.05301521,22.56833327,,1.386252518,0.503991392
2016/12/4,27.77,8080,429.6101485,-0.003513146,0.05301521,22.1530569,,1.368227044,0.526992953
